StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1,Q4,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q6,Q7,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q8,Q9,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q10,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q11,Q18_First Click,Q18_Last Click,Q18_Page Submit,Q18_Click Count,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"This is a graph that shows the total sales of some fast food companies. 

Which company ranks the third in sales?",Burger King's Sale is about how many billions?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"This is a table that shows the total sales of some fast food companies.


Which company ranks the third in sales?",Burger King's sale is about how many billions?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is 17+25?,What is 3 x 13,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which company has the highest sales according to the graph or table you just saw?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,McDonald's sales is about how many billions?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mTurkCode
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""mTurkCode""}"
4/26/2017 16:35,4/26/2017 16:57,IP Address,162.97.179.26,100,1316,TRUE,4/26/2017 16:57,R_2RWGC6AidPYuhs7,,,,,41.80140686,-87.60050201,anonymous,Wendy's,10,2.697,2.697,3.824,1,,,,,,,42,39,1.824,2.63,3.398,2,McDonoald's,4.959,4.959,5.911,1,40,1.671,1.671,2.771,1,512265
4/26/2017 17:39,4/26/2017 17:40,IP Address,162.198.205.227,100,49,TRUE,4/26/2017 17:40,R_4GuvN7zkT8uFjYB,,,,,35.67610168,-78.81600189,anonymous,,,,,,,Wendy's,10,4.083,4.083,5.71,1,42,39,2.549,6.25,7.482,3,McDonoald's,2.978,2.978,4.707,1,40,4.221,4.221,5.753,1,698461
4/26/2017 17:53,4/26/2017 17:54,IP Address,63.151.141.158,100,49,TRUE,4/26/2017 17:54,R_2CHCtNIzujWfZaD,,,,,36.63549805,-88.28299713,anonymous,,,,,,,Wendy's,10,7.942,7.942,8.763,1,42,39,3.662,6.405,7.039,3,McDonoald's,4.404,4.404,4.726,1,40,3.148,3.148,3.869,1,503177
4/26/2017 18:49,4/26/2017 18:50,IP Address,69.250.230.9,100,96,TRUE,4/26/2017 18:50,R_2THtXXg4srqerZ3,,,,,39.13169861,-77.28800201,anonymous,Wendy's,10,6.671,6.671,8.386,1,,,,,,,42,39,3.457,6.183,8.982,2,McDonoald's,3.163,3.163,4.684,1,40,2.683,2.683,4.152,1,162218
4/26/2017 18:56,4/26/2017 18:58,IP Address,24.158.195.220,100,110,TRUE,4/26/2017 18:58,R_eeOEGRYMThhWWTT,,,,,36.4907074,-82.62000275,anonymous,,,,,,,Wendy's,10,8.249,8.249,10.491,1,42,39,21.104,29.753,31.3,2,McDonoald's,5.083,5.083,6.255,1,40,6.903,6.903,9.315,1,995186
4/26/2017 21:11,4/26/2017 21:13,IP Address,49.35.10.13,100,138,TRUE,4/26/2017 21:13,R_2EE01Do6FA0Z7hR,,,,,18.53329468,73.86669922,anonymous,Wendy's,10,7.136,7.136,12.483,1,,,,,,,42,39,13.599,20.664,21.619,2,McDonoald's,4.658,4.658,7.896,1,40,2.899,2.899,4.334,1,964029
4/26/2017 22:30,4/26/2017 22:31,IP Address,155.186.125.95,100,63,TRUE,4/26/2017 22:31,R_1rH9qRWbu0XqwNG,,,,,34.14889526,-117.6564026,anonymous,,,,,,,Wendy's,10,3.238,7.088,8.233,2,42,39,4.997,8.287,9.37,2,Starbucks,4.689,4.689,5.672,1,70,3.267,3.267,4.515,1,619246
4/26/2017 22:54,4/26/2017 22:55,IP Address,104.34.39.13,100,46,TRUE,4/26/2017 22:55,R_1JJwuwIOH3WJN2J,,,,,33.83120728,-117.6053009,anonymous,Wendy's,10,9.122,9.122,9.969,1,,,,,,,42,39,3.193,4.481,5.137,2,McDonoald's,5.817,5.817,6.565,1,60,1.379,3.094,3.866,2,196332
